Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Hayley M.,"Torrance, CA",2,22,5,4.0,9/11/2015,"I came here on a Friday night, even though the place was busy we waited 20 minutes- not bad. Our waiter, I think his name was Joe was excellent. He delivered all our requests and I didn't even need to ask him for refills. The food isn't amazing but it's pretty good; above average. You'll probably leave here feeling stuffed especially if you eat a pizookie after your lunch or dinner.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Lexi S.,"Valencia, CA",0,9,93,2.0,4/26/2016,"I have been a trusting customer of Bjs for over 10 years. Each location has provided me with acceptable service, excellent food, and I haven't had many complaints all in all. However, I'm disappointed with the Bjs rewards points. At this location I did not receive my rewards. I followed up with a call the next day, and spoke with a manager. He told me that the points were pending and he wouldn't be able to help me on his end. I called back the next day, I spoke with another manager. She told me to add the points myself, while on the phone I explained that I can not. I tried a fourth time while still on the phone through the website, and the app. She took down my name and number to see if it went through or was still pending on her end. Normally I receive  an email hours after my purchase, stating my points went on my card. She did not return my call, I still have not received my points. I'm extremely displeased, my check was over $100. Beware you may not have your points out on your card, or have a manager take notice, or return a follow up call. Won't be returning to this location.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Glenn S.,"Hawthorne, CA",21,10,,1.0,2/16/2015,"Worst BJ's we've been to. Hostess in the front were very rude and had no manners. After a hour wait they took us along with another party to the same table. They girl that escorted us just said ""oh"" and left us. After we got seated the waitress took our drink order we got the drink my mom asked for sugar for her tea. We end up asking 4 times for sugar before it was brought. When the food came the pizza and french fries were cold. Club Sanwhich bread was burned. My dads pork chops were so over cooked that he could barely chew it.  They got alot to fix before we come back.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Kathy W.,"Redondo Beach, CA",213,545,113,5.0,7/28/2013,"I don't go to BJ's too often but we had a party of 20+ the other night and our waiter, Benny, was awesome....he memorized every order w/o writing anything down and gave us all separate checks!  He rocked!  I enjoyed my mushroom pizza and my dining companions were quite happy with their choices, ranging from the Cobb salad to the pulled pork sandwich and more.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Wendy B.,"Carson, CA",1,16,,2.0,8/12/2016,"Every time i come here to eat there is always something wrong. I dont know why but i always get a bad server, you might ask why i keep coming here?!? The food is good its always the server that sucks! This last time i came in to have dinner with my boyfriend the girl that served is was a total disaster. She was rude. Like she was on a rush. While we were looking at the menu she asked the usual question ""can i get you something to drink?"" We were looking at the menu so we waited a few seconds to reply when she said ""you want something? Yes, no, maybe?"" What a horrible way! After that she kept on making noise when removing plates or bringing food. She was totally rude and disrespectful! She would always come around with her long face and  being totally rude! That is not a way to treat a customer. I am 200% sure i wont be coming back here! Horrible service Tequila! (I think thats how you spell her name) too pissed to even try to remember how to write it.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Laizelle F.,"Daly City, CA",0,2,,1.0,7/25/2015,"-First of all they didn't even bring us utensils and napkins, we had to ask for it. -they didn't ask ""if we wanted anything else"" or if we were ok -if we didn't ask the waitor for how long our food would've arrived, it would've taken another 15 min. Like bruhhh",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Cara C.,"Los Angeles, CA",497,379,18,4.0,8/9/2013,"They serve brunch on the weekends 10-1...yes, they have breakfast pizza. In case you were wondering.  I was quite thrilled that their brunch is pretty good!  I had the french toast and wasn't expecting much from a pizza place, but it was pretty darn good.  It was under $10 which is a fair price for a meal at BJ's, I think.   I also had their stout beer.  It goes pretty well with french toast. Who knew? The place is massive so there was no wait, which is also good for a BJ's.  Service was good too.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Evan F.,"Redondo Beach, CA",18,362,113,3.0,3/6/2014,"Ate there three times. I thought the food was okay and the service incredibly slow. Last time after eating and declining dessert it seemed like an eternity until the bill came. I'll go again but the place is low on my ""must of to"" list.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Lina F.,"Lakewood, CA",1152,447,1258,5.0,6/28/2013,"We went to the BJ's at the Del Amo Mall and it was great.  Joe was our waiter and this dude was outstanding.  He always checked on us, not overbearing but good and we were sending him back and forth for one thing or another.  He was cool though, didn't seem to get irritated.  The food was great, I had a bowl of meaty Clam Chowder, Basil and Italian Sausage Flatbread and they hit the spot.  My niece and nephew had the Fettuccini Alfredo with Chicken and Garlic Cheese Toast and the little monsters tore it up.  Mikey ordered another round of noodles so they must've done something right because he's the pickyiest boy I know.  I had their house brewed Cream Soda and it was kinda sa-weet as in ""too sugary"" but then again, aren't they all? Enjoyed the evening with the rugrats though.  Oh, and we took a Pazooki Chocolate Chip with Ice Cream on the side for the kids to eat at home.  It was late too so I sugared the kids up and dropped them home.  They were probably bouncing off the walls.  Why does that make me smile, lol... bad girl..",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Kimberly V.,"Carson, CA",173,75,18,1.0,11/7/2014,Can I give this place one star?!!! Seriously over an hour to get out food. No apology no nothing. Worst service ever.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
Chelsea L.,"San Pedro, CA",0,10,,1.0,10/31/2016,"I've never had a bad experience at this BJ's ever, until yesterday. My boyfriend & I were told it will be a 15 minute wait for a table so we waited. When the time came, we head to be seated until the lady seating us, told us to stop because our table wasn't ready because it was still dirty, she then just headed to the front as if nothing happened. The lady just left us mid aisle with no instructions except for ""stop"" so what were we suppose to do when our table was still dirty & we were just standing there? My feet were killing me from shopping all day so I sat down. We waited a good 10 minutes at the dirty table until the manager noticed all the dishes to the side and it was just my boyfriend & I talking. She then got a bit mad and asked us what happened. As we tried to explain our story, she said to point out the lady who seated us so she can tell her what she did wrong and how she could fix it. We looked after the manager left as she approached the lady who had seated us and she acted as if she did not know what we were taking about. As if we seated ourselves. Let me remind you I waited that 15 minutes to be seated! The manager then came back & asked if we seated ourselves but we tried explaining the lady just left us with a dirty table. The manager YET did not really believe us and told us it was ""okay if you seated yourself"" but we DID NOT. I was so disappointed at how the lady acted as if she did not even know who we were and how she ""did not"" seat us. I was left speechless. Later, our waiter brought us our drinks which were the wrong ones but we did not say anything. He later went home & introduced us to a new waiter who then forgot to put our discount TWICE on our check. I still am so speechless at what happened yesterday because I love this Bj's and I don't want to have a reason to hate it.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance?start=440
